county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Archuleta	2019-09-01	Child Care/Preschool	NA	14.81	NA	17.04	NA	15.56	NA	14.81	NA	14.81	NA	14.81	NA	17.78	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2019-09-01	Kindergarten	NA	18.97	NA	20.69	NA	NA	NA	19.83	NA	NA	NA	19.83	NA	18.97	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2019-09-01	School	NA	9.24	NA	9.37	NA	NA	NA	9.24	NA	NA	NA	9.24	NA	9.24	NA	7.33	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2020-09-01	Child Care/Preschool	NA	7.62	NA	8.57	NA	8.57	NA	6.67	NA	8.57	NA	7.62	NA	8.57	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2020-09-01	Kindergarten	NA	23.08	NA	18.46	NA	NA	NA	23.08	NA	NA	NA	23.08	NA	22.31	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2020-09-01	School	NA	11.05	NA	10.23	NA	NA	NA	11.1	NA	NA	NA	11.34	NA	12.27	NA	9.49	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2021-09-01	Child Care/Preschool	NA	17.05	NA	18.18	NA	15.91	NA	14.77	NA	14.77	NA	17.05	NA	19.32	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2021-09-01	Kindergarten	NA	18.52	NA	13.89	NA	NA	NA	14.81	NA	NA	NA	18.52	NA	16.67	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2021-09-01	School	NA	9.85	NA	9.67	NA	NA	NA	9.79	NA	NA	NA	10.1	NA	11.19	NA	9.83	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archuleta	2022-09-01	Child Care/Preschool	1.06	13.83	1.06	15.96	1.06	13.83	1.06	13.83	1.06	13.83	1.06	13.83	1.06	13.83	NA	NA	08007	CO	Archuleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
