"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
387,"Weyauwega-Fremont","6384",6,"Unified","Weyauwega-Fremont Sch Dist",90.13398295,"90.1%",762373466.151663,219505.879733079
388,"Wheatland J1","6412",2,"Elementary","Wheatland J1 Sch Dist",86.863711,"86.9%",150803765.683574,69349.9654492253
389,"White Lake","6440",8,"Unified","White Lake Sch Dist",48.68421053,"48.7%",992235696.04894,166094.678342817
390,"Whitefish Bay","6419",1,"Unified","Whitefish Bay Sch Dist",95.62764457,"95.6%",10236399.1253186,17330.9369190001
391,"Whitehall","6426",4,"Unified","Whitehall Sch Dist",83.29113924,"83.3%",709330473.617146,263382.646471966
392,"Whitewater Unified","6461",2,"Unified","Whitewater Unified Sch Dist",87.39240506,"87.4%",658246911.48664,168065.827751475
393,"Whitnall","6470",1,"Unified","Whitnall Sch Dist",90.26369168,"90.3%",39358980.1663222,40702.028651599
394,"Wild Rose","6475",5,"Unified","Wild Rose Sch Dist",85.9375,"85.9%",725791346.672212,230261.220654198
395,"Wilmot UHS","6545",2,"Secondary","Wilmot UHS Sch Dist",93.92324094,"93.9%",230749822.34017,71832.8659313114
396,"Winneconne Community","6608",6,"Unified","Winneconne Community Sch Dist",90.46822742,"90.5%",651740687.901073,191462.952029504
397,"Wisconsin Dells","6678",5,"Unified","Wisconsin Dells Sch Dist",83.46368715,"83.5%",924545029.928048,233854.961578705
398,"Wisconsin Heights","0469",2,"Unified","Wisconsin Heights Sch Dist",93.33333333,"93.3%",508131813.516882,217039.217969764
399,"Wisconsin Rapids","6685",5,"Unified","Wisconsin Rapids Sch Dist",91.01809462,"91%",1200863549.47165,219434.456214337
400,"Wittenberg-Birnamwood","6692",8,"Unified","Wittenberg-Birnamwood Sch Dist",93.35106383,"93.4%",1297221463.53344,193092.297510518
401,"Wonewoc-Union Center","6713",4,"Unified","Wonewoc-Union Center Sch Dist",90.25787966,"90.3%",463614686.984382,287850.101451206
402,"Woodruff J1","6720",9,"Elementary","Woodruff J1 Sch Dist",93.44894027,"93.4%",569921814.05826,123005.834954475
403,"Wrightstown Community","6734",7,"Unified","Wrightstown Community Sch Dist",94.25019425,"94.3%",405167181.477155,153456.325695872
404,"Yorkville J2","6748",2,"Elementary","Yorkville J2 Sch Dist",96.49890591,"96.5%",137061257.663197,61765.90790948
