"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38059,"Morton County","Kindergarten",3178,2.97410006293266,5.46910006293266,0.316050975456262,1.42132158590308,90.5737602265576,91.1418124606671,90.6080427942102,93.2322026431718,90.0995311516677,NA,NA
38061,"Mountrail County","11",670,3.58949253731343,0.896417910447761,0,0.446985074626866,92.8242985074627,92.6733432835821,NA,92.5266268656716,91.6268059701492,86.3865820895522,70.863776119403
38061,"Mountrail County","7",740,5.19377027027027,0.404635135135135,0,1.4942027027027,90.7602297297297,89.7849594594595,NA,91.2957162162162,90.4862972972973,71.5920405405405,72.4152297297297
38061,"Mountrail County","Kindergarten",1175,4.00543829787234,0.256025531914894,0.17096170212766,0.426468085106383,89.0918638297872,88.7524425531915,87.5548,93.013029787234,89.2658042553192,NA,NA
38063,"Nelson County","11",206,0.970776699029126,0.48495145631068,0,0,98.5435436893204,99.0292233009709,NA,98.5435922330097,98.0582038834952,97.5743689320389,84.4659223300971
38063,"Nelson County","7",230,0.869391304347826,1.30513043478261,0,0,97.8248695652174,97.8254782608696,NA,98.2600869565217,98.2600869565217,93.0433043478261,92.6089565217391
38063,"Nelson County","Kindergarten",249,1.60638554216867,4.01574297188755,0,0,94.3789959839357,94.7799196787148,94.7799196787148,95.5828112449799,93.5758634538153,NA,NA
38065,"Oliver County","11",120,4.16775,7.50133333333333,0,2.49916666666667,88.3329166666666,89.1661666666667,NA,87.4996666666667,88.3329166666666,88.3331666666667,82.5
38065,"Oliver County","7",126,0.793333333333333,7.1418253968254,0,0.793333333333333,92.0648412698413,92.0648412698413,NA,91.2707936507937,92.0648412698413,88.8898412698413,88.0965079365079
38065,"Oliver County","Kindergarten",118,0,3.38983050847458,0,2.54186440677966,89.8309322033898,92.3740677966102,91.5255084745763,93.221186440678,91.5255084745763,NA,NA
38067,"Pembina County","11",463,4.12164146868251,1.54699784017279,0,0.449136069114471,96.4737149028078,96.507645788337,NA,96.7243412526998,95.808596112311,95.5905399568035,88.5930669546436
38067,"Pembina County","7",515,0.585087378640777,2.52500970873786,0.194174757281553,0.388543689320388,96.5040194174757,96.3103689320388,NA,97.2798834951456,96.3101553398058,94.952,93.9809126213592
38067,"Pembina County","Kindergarten",556,1.6288309352518,3.60794964028777,0.359640287769784,1.08753597122302,92.5952517985612,92.9544784172662,93.3246402877698,92.7846043165468,90.4361330935252,NA,NA
38069,"Pierce County","11",286,0.698636363636363,3.14748251748252,0,1.74706293706294,95.4541608391608,94.0567132867133,NA,93.7054545454545,93.3573776223776,94.0555594405594,83.9153846153846
38069,"Pierce County","7",459,0.218954248366013,3.05222222222222,0,1.30779956427015,95.643137254902,95.8603050108932,NA,96.2933986928105,95.8577124183007,94.3352505446623,93.8986928104575
38069,"Pierce County","Kindergarten",321,0.656261682242991,2.80352024922118,0,0.622242990654206,94.9503426791277,95.6066043613707,95.6066043613707,97.4732398753894,95.2953894080997,NA,NA
38071,"Ramsey County","11",722,0.137742382271468,0.554432132963989,0,0,99.445567867036,99.5841412742382,NA,99.445567867036,99.445567867036,99.1693213296399,89.7639889196676
38071,"Ramsey County","7",997,0.203420260782347,0.902888665997994,0,0.60382146439318,88.2957071213641,87.9910030090271,NA,88.1948746238716,87.9948946840522,86.3857873620863,86.2855265797392
38071,"Ramsey County","Kindergarten",1266,0,0.981113744075829,0.0785387045813586,0,99.1156556082149,98.9403475513428,98.9403475513428,99.1059399684044,99.1156556082149,NA,NA
38073,"Ransom County","11",433,1.15473441108545,1.85741339491917,0,0,91.6753810623557,91.4453579676674,NA,91.4453579676674,91.4453579676674,91.4453579676674,87.0285912240185
38073,"Ransom County","7",423,0.70903073286052,2.60252955082742,0,0.237163120567376,90.0710401891253,90.0710401891253,NA,89.8352009456265,89.8338770685579,89.1248936170213,88.6518912529551
38073,"Ransom County","Kindergarten",448,0.908504464285714,3.13098214285714,0.223459821428571,1.12337053571429,88.3714508928571,88.3623883928571,87.9162276785714,89.2538392857143,89.0402455357143,NA,NA
