,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Morris,0.00%,0.00%,1.40%,0.00%,0.72%,2.80%,1.45%,0.00%,1.42%,1.60%,2.31%,,,,,,,
,Motley,0.00%,NR**,0.00%,10.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0.00%,13.33%,,,,,,,
,Nacogdoches,1.16%,0.12%,0.89%,1.64%,1.21%,1.92%,1.17%,1.40%,2.59%,3.23%,2.89%,,,,,,,
,Navarro,0.44%,0.28%,0.28%,0.30%,0.61%,1.48%,0.90%,1.12%,1.93%,3.94%,3.43%,,,,,,,
,Newton,0.00%,3.08%,0.78%,1.31%,2.96%,0.72%,5.65%,4.65%,5.31%,7.37%,9.09%,,,,,,,
,Nolan,0.74%,0.00%,1.52%,0.96%,0.94%,2.25%,0.82%,1.07%,1.56%,1.64%,0.68%,,,,,,,
,Nueces,0.88%,0.83%,0.76%,0.95%,1.04%,1.39%,1.30%,1.33%,1.42%,2.15%,2.18%,,,,,,,
,Ochiltree,0.51%,0.00%,0.00%,0.65%,0.00%,2.72%,0.00%,2.58%,5.16%,5.69%,2.70%,,,,,,,
,Oldham,7.14%,5.88%,3.13%,2.27%,4.88%,2.27%,1.79%,7.14%,2.94%,2.33%,14.00%,,,,,,,
,Orange,0.74%,1.68%,1.49%,2.29%,2.62%,3.95%,3.98%,4.96%,6.72%,6.13%,8.20%,,,,,,,
,Palo Pinto,1.58%,0.60%,0.85%,2.03%,2.40%,2.57%,4.08%,3.58%,4.31%,3.32%,6.02%,,,,,,,
,Panola,1.07%,0.39%,0.36%,1.80%,2.64%,1.46%,1.53%,2.09%,2.59%,5.65%,5.91%,,,,,,,
,Parker,1.83%,3.14%,2.23%,2.86%,3.30%,4.93%,4.91%,3.87%,6.31%,7.34%,8.13%,,,,,,,
,Parmer,1.89%,0.50%,1.07%,1.09%,0.70%,1.13%,3.53%,0.66%,0.51%,2.91%,3.55%,,,,,,,
,Pecos,0.80%,0.69%,0.41%,0.40%,0.50%,0.45%,1.26%,0.54%,2.20%,0.59%,8.87%,,,,,,,
,Polk,0.20%,1.50%,1.55%,1.71%,1.73%,1.80%,0.80%,0.60%,1.44%,1.13%,1.86%,,,,,,,
,Potter,1.26%,1.20%,1.17%,1.53%,1.51%,1.64%,1.84%,1.60%,2.16%,3.12%,3.33%,,,,,,,
,Presidio,0.00%,0.00%,0.00%,0.86%,1.03%,1.14%,2.04%,0.00%,0.00%,0.00%,1.85%,,,,,,,
