"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Barnum School","Public","495 Waterview Avenue","Bridgeport","06608","Greater Bridgeport","0.0","0.0","0.0"
"Bassick High School","Public","1181 Fairfield Ave.","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Beardsley School","Public","500 Huntington Rd.","Bridgeport","06610","Greater Bridgeport","0.0","0.0","0.0"
"Black Rock School","Public","545 Brewster St.","Bridgeport","06605","Greater Bridgeport","0.0","0.5","0.5"
"Blackham School","Public","425 Thorme St.","Bridgeport","06606","Greater Bridgeport","0.3","0.1","0.4"
"Bridgeport Hope School","Non-public","283 Lafayette Street","Bridgeport","06604","Greater Bridgeport","4.5","0.0","4.5"
"Bridgeport International Academy","Non-public","285 Lafayette Street","Bridgeport","06604","Greater Bridgeport","1.0","0.0","1.0"
"Bridgeport Learning Center","Non-public","280 Tesiny Ave.","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"Bridgeport Military Academy","Public","160 Iranistan Avenue","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Bridgeport Regional Vocational Aquaculture School","Non-public","60 St Stephens Rd","Bridgeport","06605","Greater Bridgeport","DNC","DNC","DNC"
"Bryant School","Public","230 Poplar St.","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Bullard-Havens Technical High School","Public","500 Palisade Ave.","Bridgeport","06610","Greater Bridgeport","0.0","0.5","0.5"
"Capital Preparatory Harbor School 7-12","Public","777 Main Street","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Capital Preparatory Harbor School K-6","Public","777 Main Street","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Catholic Academy of Bridgeport: St. Andrew Academy","Non-public","395 Anton Street","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"Catholic Academy of Bridgeport: St. Ann Academy","Non-public","521 Brewster Street","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Catholic Academy of Bridgeport: St. Augustine Academy","Non-public","63 Pequonnock Street","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Catholic Academy of Bridgeport: St. Raphael Academy","Non-public","324 Frank Street","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
